Authors,Article Title,Publication Year,Author Keywords,Keywords Plus,"Times Cited, WoS Core","Times Cited, All Databases",DOI Link,Research Areas,Intern Assigned
"Carra, M; Balbinot, A",Evaluation of Sensorimotor Rhythms to Control a Wheelchair,2013,Electroencephalography; Classifier Learning Vector Quantizatio; Brain-Computer Interface (BCI); control wheelchair,,19,26,,Mathematical & Computational Biology; Robotics,
"Besio, W; Sharma, V; Spaulding, J",The Effects of Concentric Ring Electrode Electrical Stimulation on Rat Skin,2010,Noninvasive electrical stimulation; Transcutaneous electrical stimulation; Electrical-thermal coupled field analysis; Infrared thermography,DISPERSIVE ELECTRODES; BURNS; DEFIBRILLATION; TISSUE; BRAIN; INTERFACE,18,19,http://dx.doi.org/10.1007/s10439-009-9891-y,Engineering,
"Tidoni, E; Tieri, G; Aglioti, SM",Re-establishing the disrupted sensorimotor loop in deafferented and deefferented people: The case of spinal cord injuries,2015,Sensorimotor loop; Spinal cord injury; Brain computer interface; Embodiment; Brain plasticity; Chronic pain,BRAIN-COMPUTER INTERFACE; RUBBER HAND ILLUSION; MOTOR SYSTEM FUNCTION; NEUROPATHIC PAIN; CORTICAL REORGANIZATION; FUNCTIONAL REORGANIZATION; PHANTOM SENSATIONS; EVOKED-POTENTIALS; WAVE ACTIVITY; CORTEX,17,19,http://dx.doi.org/10.1016/j.neuropsychologia.2015.06.029,Behavioral Sciences; Neurosciences & Neurology; Psychology,"Tanvi, Tasnim"
"Vuckovic, A; Hasan, MA; Osuagwu, B; Fraser, M; Allan, DB; Conway, BA; Nasseroleslami, B",The influence of central neuropathic pain in paraplegic patients on performance of a motor imagery based Brain Computer Interface,2015,EEG; Motor imagery; BCI; Paraplegia; Central neuropathic pain; Event related synchronisation/desynchronisation,EEG; CLASSIFICATION; REORGANIZATION; FEASIBILITY; PREVALENCE; DYNAMICS; BCI,17,21,http://dx.doi.org/10.1016/j.clinph.2014.12.033,Neurosciences & Neurology,"Abhimanyu, Austin"
"Kothari, M; Svensson, P; Huo, XL; Ghovanloo, M; Baad-Hansen, L",Motivational conditions influence tongue motor performance,2013,monetary reward; motivation; self-controlled practice; Tongue Drive System; tongue-training,CORTICOMOTOR CONTROL; COMPUTER INTERFACE; SKILL; TASK; GENDER; PLASTICITY; RESPONSES; BRAIN; MUSCULATURE; CONCURRENT,17,18,http://dx.doi.org/10.1111/eos.12022,"Dentistry, Oral Surgery & Medicine",
"Colamarino, E; Lorusso, M; Pichiorri, F; Toppi, J; Tamburella, F; Serratore, G; Riccio, A; Tomaiuolo, F; Bigioni, A; Giove, F; Scivoletto, G; Cincotti, F; Mattia, D",DiSCIoser: unlocking recovery potential of arm sensorimotor functions after spinal cord injury by promoting activity-dependent brain plasticity by means of brain-computer interface technology: a randomized controlled trial to test efficacy,2023,EEG-based Brain-Computer Interface; Spinal cord injury; Hand functional sensorimotor recovery; Brain plasticity; Motor imagery; Neurorehabilitation,INTERRATER RELIABILITY; MOTOR RECOVERY; SCALE; RESTORATION; INDIVIDUALS; INVENTORY; IMAGERY; VERSION; PEOPLE; PAIN,16,16,http://dx.doi.org/10.1186/s12883-023-03442-w,Neurosciences & Neurology,"Christine, Harshini"
"Savic, AM; Novicic, M; Dordevic, O; Konstantinovic, L; Miler-Jerkovic, V",Novel electrotactile brain-computer interface with somatosensory event-related potential based control,2023,brain computer interface (BCI); event-related potentials (ERP); electrical stimulation; somatosensory evoked potential (SEP); tactile attention; tactile BCI; machine learning,EVOKED POTENTIALS; POINTS,16,17,http://dx.doi.org/10.3389/fnhum.2023.1096814,Neurosciences & Neurology; Psychology,
"Yao, L; Jiang, N; Mrachacz-Kersting, N; Zhu, XY; Farina, D; Wang, YM",Reducing the Calibration Time in Somatosensory BCI by Using Tactile ERD,2022,Brain-computer interface (BCI); tactile event-related desynchronization (ERD); somatosensory BCI; imagined sensation,BRAIN-COMPUTER-INTERFACE; COMMON SPATIAL-PATTERNS; STEADY-STATE RESPONSES; MOTOR IMAGERY; ELECTRICAL-STIMULATION; EVOKED POTENTIALS; EEG; (DE)SYNCHRONIZATION; DISCRIMINATION; REHABILITATION,15,15,http://dx.doi.org/10.1109/TNSRE.2022.3184402,Engineering; Rehabilitation,
"Kaas, A; Goebel, R; Valente, G; Sorger, B",Topographic Somatosensory Imagery for Real-Time fMRI Brain-Computer Interfacing,2019,tactile; human; real-time fMRI; MVPA; somatotopy,HUMAN PARIETAL OPERCULUM; REGIONAL PAIN SYNDROME; SPATIAL NAVIGATION; DIGIT SOMATOTOPY; TACTILE IMAGERY; MENTAL IMAGES; CORTEX; COMMUNICATION; AREAS; 3B,15,17,http://dx.doi.org/10.3389/fnhum.2019.00427,Neurosciences & Neurology; Psychology,
"Aurucci, GV; Preatoni, G; Damiani, A; Raspopovic, S",Brain-Computer Interface to Deliver Individualized Multisensory Intervention for Neuropathic Pain,2023,Neuropathic pain; Transcutaneous electrical nerve stimulation; Virtual reality; EEG; Skin conductance; BCI,DIABETIC POLYNEUROPATHY; OSCILLATORY ACTIVITY; VIRTUAL-REALITY; ORIGIN,14,18,http://dx.doi.org/10.1007/s13311-023-01396-y,Neurosciences & Neurology; Pharmacology & Pharmacy,
"Proverbio, AM; Pischedda, F",Measuring brain potentials of imagination linked to physiological needs and motivational states,2023,EEG; ERP; mental imagery; motivational states; ERP markers; brain computer interface (BCI),EARLY VISUAL-CORTEX; MENTAL-IMAGERY; MOTOR IMAGERY; PERCEPTION; APPETITE; SYSTEM; GYRUS; HEAT; COLD,14,15,http://dx.doi.org/10.3389/fnhum.2023.1146789,Neurosciences & Neurology; Psychology,
"Li, H; Liu, M; Yu, X; Zhu, JQ; Wang, CF; Chen, XY; Feng, C; Leng, JC; Zhang, Y; Xu, FZ",Coherence based graph convolution network for motor imagery-induced EEG after spinal cord injury,2023,electroencephalogram; motor imagery; brain-computer interface; coherence-based graph convolutional network; spinal cord injury,FUNCTIONAL CONNECTIVITY; CHRONIC PAIN,14,14,http://dx.doi.org/10.3389/fnins.2022.1097660,Neurosciences & Neurology,"Jason, Kaung"
"Wriessnegger, SC; Bauernfeind, G; Kurz, EM; Raggam, P; Müller-Putz, GR",Imagine squeezing a cactus: Cortical activation during affective motor imagery measured by functional near-infrared spectroscopy,2018,,BRAIN-COMPUTER-INTERFACE; MENTAL-IMAGERY; KINESTHETIC IMAGERY; PAIN PERCEPTION; DEFAULT MODE; BOLD SIGNAL; CORTEX; NETWORK; TOOL; MODULATION,14,16,http://dx.doi.org/10.1016/j.bandc.2018.07.006,Neurosciences & Neurology; Psychology,"Rhea, Ruhan"
"Chen, Y; Zhang, GK; Guan, LX; Gong, C; Ma, BZ; Hao, HW; Li, LM",Progress in the development of a fully implantable brain-computer interface: the potential of sensing-enabled neurostimulators,2022,,PREDICTION,13,19,http://dx.doi.org/10.1093/nsr/nwac099,Science & Technology - Other Topics,
"Deo, DR; Rezaii, P; Hochberg, LR; Okamura, AM; Shenoy, K; Henderson, JM",Effects of Peripheral Haptic Feedback on Intracortical Brain-Computer Interface Control and Associated Sensory Responses in Motor Cortex,2021,Haptic interfaces; Neck; Force; Sensitivity; Probes; Skin; Visualization; Neuroprosthetics; brain-machine interfaces; artificial proprioceptive feedback; sensorimotor processing,PYRAMIDAL TRACT NEURONS; REACHING MOVEMENTS; SINGLE NEURON; PERFORMANCE; PROPRIOCEPTION; IMPAIRMENTS; INTEGRATION; HAND; SKIN; DISCRIMINATION,13,15,http://dx.doi.org/10.1109/TOH.2021.3072615,Computer Science,"Tanvi, Tasnim"
"Pokorny, C; Breitwieser, C; Müller-Putz, GR",The Role of Transient Target Stimuli in a Steady-State Somatosensory Evoked Potential-Based Brain-Computer Interface Setup,2016,brain-computer interface (BCI); steady-state somatosensory evoked potential (SSSEP); P300; electroencephalography (EEG); tactile stimulation; transient target stimulus,SPATIAL ATTENTION; VIBRATION; ARTIFACTS; HAND,13,14,http://dx.doi.org/10.3389/fnins.2016.00152,Neurosciences & Neurology,
"Demarest, P; Rustamov, N; Swift, J; Xie, T; Adamek, M; Cho, H; Wilson, E; Han, ZY; Belsten, A; Luczak, N; Brunner, P; Haroutounian, S; Leuthardt, EC",A novel theta-controlled vibrotactile brain-computer interface to treat chronic pain: a pilot study,2024,,TRANSCRANIAL MAGNETIC STIMULATION; PREFRONTAL CORTEX; CLINICAL-TRIALS; OUTCOME MEASURES; PLASTICITY; RTMS; EEG; MINDFULNESS; RECOVERY; REORGANIZATION,12,14,http://dx.doi.org/10.1038/s41598-024-53261-3,Science & Technology - Other Topics,
"Marino, S; Jassar, H; Kim, DJ; Lim, M; Nascimento, TD; Dinov, ID; Koeppe, RA; DaSilva, AF",Classifying migraine using PET compressive big data analytics of brain's μ-opioid and D2/D3 dopamine neurotransmission,2023,migraine disease; artificial intelligence; dopamine (raclopride); mu-opioid (carfentanil); computer-aided diagnosis; PET imaging data; CBDA,PAIN; SUPPORT; CONNECTIVITY; ACTIVATION; ALLODYNIA; DISEASE; PUTAMEN; CORTEX; MRI,12,13,http://dx.doi.org/10.3389/fphar.2023.1173596,Pharmacology & Pharmacy,
"Xu, FZ; Wang, CF; Yu, X; Zhao, JZ; Liu, M; Zhao, JQ; Gao, LC; Jiang, XQ; Zhu, ZX; Wu, YJ; Wang, DZ; Feng, SX; Yin, S; Zhang, Y; Leng, JC",One-Dimensional Local Binary Pattern and Common Spatial Pattern Feature Fusion Brain Network for Central Neuropathic Pain,2023,Spinal cord injury; central nervous pain; functional connectivity; phase locking value; motor imagery,SPINAL-CORD-INJURY; SINGLE TRIAL EEG; FUNCTIONAL CONNECTIVITY; DEFAULT-MODE; MOTOR RECOVERY; EPILEPTIC EEG; GRAPH-THEORY; CLASSIFICATION; CORTEX; REORGANIZATION,12,13,http://dx.doi.org/10.1142/S0129065723500302,Computer Science,
"Zeng, FG; Tran, P; Richardson, M; Sun, SP; Xu, YC",Human Sensation of Transcranial Electric Stimulation,2019,,DEEP BRAIN-STIMULATION; CUTANEOUS SENSATION; VISUAL-CORTEX; HEARING-LOSS; PERCEPTION; ADAPTATION; SAFETY; MODEL; MOTOR; MODULATION,12,17,http://dx.doi.org/10.1038/s41598-019-51792-8,Science & Technology - Other Topics,
"Fried-Oken, M; Mooney, A; Peters, B; Oken, B",A clinical screening protocol for the RSVP Keyboard brain-computer interface,2015,Augmentative and alternative communication; brain-computer interface; cognition; locked-in syndrome; screening,LOCKED-IN SYNDROME; ALTERNATIVE COMMUNICATION; COGNITIVE IMPAIRMENT; PAIN; REHABILITATION; TECHNOLOGY; PEOPLE; ACCESS; SERIES; HEAD,12,16,http://dx.doi.org/10.3109/17483107.2013.836684,Rehabilitation,
"Eggers, TE; Dweiri, YM; McCallum, GA; Durand, DM",Recovering Motor Activation with Chronic Peripheral Nerve Computer Interface,2018,,INFORMATION; RECORDINGS; PROSTHESES; EXTRACTION; SIGNALS; SYSTEM,11,13,http://dx.doi.org/10.1038/s41598-018-32357-7,Science & Technology - Other Topics,
"Horki, P; Neuper, C; Pfurtscheller, G; Müller-Putz, G",Asynchronous steady-state visual evoked potential based BCI control of a 2-DoF artificial upper limb,2010,brain-computer interface (BCI); canonical correlation analysis (CCA); electroencephalogram (EEG); hand and elbow neuroprosthesis; neuroprosthesis; steady-state visual evoked potential (SSVEP),BRAIN-COMPUTER INTERFACES; MOTOR IMAGERY; SWITCH; COMMUNICATION; PROSTHESIS; SEARCH,11,11,http://dx.doi.org/10.1515/BMT.2010.044,Engineering; Medical Informatics,
"Pais-Vieira, C; Figueiredo, JG; Perrotta, A; Matos, D; Aguiar, M; Ramos, J; Gato, M; Poleri, T; Pais-Vieira, M",Activation of a Rhythmic Lower Limb Movement Pattern during the Use of a Multimodal Brain-Computer Interface: A Case Study of a Clinically Complete Spinal Cord Injury,2024,spinal cord injury; brain-computer interface; virtual reality; multimodal stimulation; central gait pattern generator,PAIN; SCALE; EMBODIMENT; GENERATORS; VALIDATION; PLASTICITY; OWNERSHIP; FREQUENCY; SEVERITY; LIFE,10,11,http://dx.doi.org/10.3390/life14030396,Life Sciences & Biomedicine - Other Topics; Microbiology,
"Pais-Vieira, C; Gaspar, P; Matos, D; Alves, LP; da Cruz, BM; Azevedo, MJ; Gago, M; Poleri, T; Perrotta, A; Pais-Vieira, M",Embodiment Comfort Levels During Motor Imagery Training Combined With Immersive Virtual Reality in a Spinal Cord Injury Patient,2022,embodiment; bodily experience; spinal cord injured (SCI); brain-machine (computer) interface; comfort and human perception; tactile; thermal; virtual reality,NEUROPATHIC PAIN; BODY OWNERSHIP; BRAIN; SCALE; BCI; REHABILITATION; VALIDATION; SEVERITY; ILLUSION,10,14,http://dx.doi.org/10.3389/fnhum.2022.909112,Neurosciences & Neurology; Psychology,
"Tayeb, Z; Dragomir, A; Lee, JH; Abbasi, NI; Dean, E; Bandla, A; Bose, R; Sundar, R; Bezerianos, A; Thakor, N; Cheng, G",Distinct spatio-temporal and spectral brain patterns for different thermal stimuli perception,2022,,ANTERIOR CINGULATE CORTEX; CEREBRAL RESPONSES; ACUTE PAIN; EEG; FMRI; SEGMENTATION; SIGNALS; HUMANS; SYSTEM; HAND,10,11,http://dx.doi.org/10.1038/s41598-022-04831-w,Science & Technology - Other Topics,
"Quick, KM; Weiss, JM; Clemente, F; Gaunt, RA; Collinger, JL",Intracortical Microstimulation Feedback Improves Grasp Force Accuracy in a Human Using a Brain-Computer Interface,2020,,SENSORY FEEDBACK,10,12,http://dx.doi.org/10.1109/embc44109.2020.9175926,Engineering,
"Lee, MB; Kramer, DR; Peng, T; Barbaro, MF; Liu, CY; Kellis, S; Lee, B",Brain-Computer Interfaces in Quadriplegic Patients,2019,Brain-computer interfaces (BCI); Neuromodulation; Brain-machine interfaces (BMI); Functional electrical stimulation (FES),RANDOMIZED CONTROLLED-TRIAL; POSTERIOR PARIETAL CORTEX; SPINAL-CORD STIMULATION; ELECTRICAL-STIMULATION; NEUROPATHIC PAIN; FOLLOW-UP; TETRAPLEGIA; ELECTRODES; MOVEMENT; INJURY,10,14,http://dx.doi.org/10.1016/j.nec.2018.12.009,Neurosciences & Neurology; Surgery,
"Khanam, T; Siuly, S; Wang, H",An optimized artificial intelligence based technique for identifying motor imagery from EEGs for advanced brain computer interface technology,2023,Brain computer interface (BCI); Electroencephalogram (EEG); Motor imagery (MI); Machine learning; Common spatial pattern (CSP); Medium K nearest neighbor (MKNN),CHANNEL SELECTION; CLASSIFICATION,9,9,http://dx.doi.org/10.1007/s00521-022-08027-1,Computer Science,"Abhimanyu, Austin"
"Saif, MGM; Hassan, MA; Vuckovic, A",Efficacy evaluation of neurofeedback applied for treatment of central neuropathic pain using machine learning,2021,Electroencephalography; Neuropathic pain; Neurofeedback training; Motor imagery; EEG classification; Paraplegic patients; BCI,EEG; CLASSIFICATION; SIGNALS; ELECTROENCEPHALOGRAPHY; MECHANISMS; MANAGEMENT,9,11,http://dx.doi.org/10.1007/s42452-020-04035-9,Science & Technology - Other Topics,
"Folgheraiter, M; Kirchner, EA; Seeland, A; Kim, SK; Jordan, M; Woehrle, H; Bongardt, B; Schmidt, S; Albiez, JC; Kirchner, F",A MULTIMODAL BRAIN-ARM INTERFACE FOR OPERATION OF COMPLEX ROBOTIC SYSTEMS AND UPPER LIMB MOTOR RECOVERY,2011,Haptic Interface; Bio-Inspired Design; Brain-Computer Interface; Wearable Exoskeleton; Support Vector Machine; Adaptive Brain Reading Interface; Electroencephalogram; Lateralized Readiness Potential; Bereitschaftspotential,SINGLE-TRIAL EEG; CLASSIFICATION,9,9,,Engineering,
"Liu, YD; Wang, JJ; Yin, EW; Yu, Y; Zhou, ZT; Hu, DW",An Tactile ERP-Based Brain-Computer Interface for Communication,2019,,BCI; VISION; SYSTEM; ROBOT; TOUCH; P300,8,9,http://dx.doi.org/10.1080/10447318.2018.1471839,Computer Science; Engineering,
"Tang, JS; Zhou, ZT; Yu, Y",A Hybrid Brain Computer Interface for Robot Arm Control,2016,Brain Computer Interface; EEG; EMG; Robotic Arm,BCI,8,9,http://dx.doi.org/10.1109/ITME.2016.159,Computer Science,
"Wang, J; Chen, ZS",Closed-loop neural interfaces for pain: Where do we stand?,2024,,,7,8,http://dx.doi.org/10.1016/j.xcrm.2024.101662,Cell Biology; Research & Experimental Medicine,
"Herron, J; Kremen, V; Simeral, JD; Dawes, H; Worrell, GA; Starr, PA; Denison, T; Borton, D",The convergence of neuromodulation and brain-computer interfaces,2024,,,7,9,http://dx.doi.org/10.1038/s44222-024-00187-0,Engineering; Materials Science,
"Dehzangi, O; Zou, Y; Jafari, R",Simultaneous classification of motor imagery and SSVEP EEG signals,2013,,BRAIN-COMPUTER INTERFACES,7,7,,Engineering; Neurosciences & Neurology,
"Lun, XM; Zhang, YF; Zhu, MY; Lian, YH; Hou, YM",A Combined Virtual Electrode-Based ESA and CNN Method for MI-EEG Signal Feature Extraction and Classification,2023,brain-computer interface (BCI); electroencephalography (EEG); motor imagery (MI); EEG source analysis (ESA); convolutional neural network (CNN),BRAIN-COMPUTER INTERFACE; MOTOR IMAGERY; PREFRONTAL CORTEX; CHANNEL SELECTION; COMMUNICATION; TECHNOLOGY; INTENTION; MOVEMENT,6,7,http://dx.doi.org/10.3390/s23218893,Chemistry; Engineering; Instruments & Instrumentation,
"Norton, L; Graham, M; Kazazian, K; Gofton, T; Weijer, C; Debicki, D; Fernandez-Espejo, D; Al Thenayan, E; Owen, AM",Use of functional magnetic resonance imaging to assess cognition and consciousness in severe Guillain-Barre syndrome,2023,Guillain-Barre syndrome; Functional magnetic resonance imaging; Functional neuroimaging; Augmentative and alternative communication,BRAIN-COMPUTER-INTERFACE; DETECTING AWARENESS; DISORDERS; COMMUNICATION; PATHOGENESIS; VALIDATION; NETWORKS; PEOPLE; PAIN; EEG,6,8,http://dx.doi.org/10.1016/j.ijchp.2022.100347,Psychology,
"Steele, AG; Manson, GA; Horner, PJ; Sayenko, DG; Contreras-Vidal, JL",Effects of transcutaneous spinal stimulation on spatiotemporal cortical activation patterns: a proof-of-concept EEG study,2022,EEG; functional connectivity; spinal cord; spinal stimulation; movement; cortical activation; EEG source reconstruction,SUPPLEMENTARY MOTOR AREA; CORD STIMULATION; PERIAQUEDUCTAL GRAY; VOLUNTARY MOVEMENTS; NEURAL MECHANISMS; PREMOTOR CORTEX; INJURY; HUMANS; PAIN; ORGANIZATION,6,9,http://dx.doi.org/10.1088/1741-2552/ac7b4b,Engineering; Neurosciences & Neurology,
"Guan, S; Li, JX; Wang, FW; Yuan, Z; Kang, XG; Lu, B",Discriminating three motor imagery states of the same joint for brain- computer interface,2021,Brain-computer interface; Motor imagery; Local mean decomposition; Cloud model; Common spatial pattern; Multi-objective grey wolf optimizer; Twin support vector machine,COMMON SPATIAL-PATTERN; GREY WOLF OPTIMIZER; FEATURE-EXTRACTION; EEG SIGNALS; CLASSIFICATION; CSP; PERFORMANCE; SELECTION; FEATURES,6,6,http://dx.doi.org/10.7717/peerj.12027,Science & Technology - Other Topics,
"Kashefi, M; Daliri, MR",A stack LSTM structure for decoding continuous force from local field potential signal of primary motor cortex (M1),2021,LFP; Force decoding; LSTM; BCI,GRASP KINEMATICS; REMOVAL; FILTER; REACH,6,7,http://dx.doi.org/10.1186/s12859-020-03953-0,Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Mathematical & Computational Biology,
"Salisbury, DB; Driver, S; Parsons, TD",Brain-computer interface targeting non-motor functions after spinal cord injury: a case report,2015,,,6,7,http://dx.doi.org/10.1038/sc.2014.230,Neurosciences & Neurology; Rehabilitation,"Christine, Harshini"
"Bobby, JS; Kapali, BSC; Kumar, US; Femina, MA",QCBO-WSVM: Quantum chaos butterfly optimization-based weighted support vector machine for neuropathic pain detection from EEG signal,2023,brain-computer Interface; central nervous system injury; central neuropathic pain; common spatial patterns; nature-inspired optimization; weighted incremental-decremental support vector machine classifier,NEUROFEEDBACK,5,5,http://dx.doi.org/10.1002/ima.22882,Engineering; Optics; Imaging Science & Photographic Technology,
"Zhang, ZJ; Koike, Y",Clustered event related spectral perturbation (ERSP) feature in right hand motor imagery classification,2022,brain-computer interface (BCI); motor imagery (MI); event related spectral perturbation (ERSP); right hand; same limb; clustered features,BRAIN-COMPUTER INTERFACES; COMMON SPATIAL-PATTERN; MENTAL SIMULATION; WAVELET TRANSFORM; EEG; ALGORITHMS; SELECTION,5,6,http://dx.doi.org/10.3389/fnins.2022.867480,Neurosciences & Neurology,"Jason, Kaung"
"González-Zamorano, Y; Fernández-Carnero, J; Sánchez-Cuesta, FJ; Arroyo-Ferrer, A; Vourvopoulos, A; Figueiredo, P; Serrano, JI; Romero, JP",New Approaches Based on Non-Invasive Brain Stimulation and Mental Representation Techniques Targeting Pain in Parkinson's Disease Patients: Two Study Protocols for Two Randomized Controlled Trials,2021,Parkinson’ s Disease; transcranial direct current stimulation; action observation; motor imagery; pain,,5,6,http://dx.doi.org/10.3390/brainsci11010065,Neurosciences & Neurology,
"Taschereau-Dumouchel, V; Roy, M",Could Brain Decoding Machines Change Our Minds?,2020,,,5,6,http://dx.doi.org/10.1016/j.tics.2020.09.006,Behavioral Sciences; Neurosciences & Neurology; Psychology,
"Levy, TJ; Beaty, JD",Revolutionizing Prosthetics: Neuroscience Framework,2011,,,5,5,,Engineering,
"Al-Nafjan, A; Alshehri, H; Aldayel, M",Objective Pain Assessment Using Deep Learning Through EEG-Based Brain-Computer Interfaces,2025,brain-computer interface (BCI); electroencephalography (EEG); pain assessment; artificial intelligence; deep learning,,4,6,http://dx.doi.org/10.3390/biology14020210,Life Sciences & Biomedicine - Other Topics,"Rhea, Ruhan"
"Shamsi, F; Haddad, A; Najafizadeh, L",Recognizing Pain in Motor Imagery EEG Recordings Using Dynamic Functional Connectivity Graphs,2020,,THERMAL PAIN; CLASSIFICATION,4,6,,Engineering,
"Duan, SC; Wang, C; Li, MY; Long, XG; Wu, XY; Feng, W",Haptic and Visual Enhance-based Motor Imagery BCI for Rehabilitation Lower-Limb Exoskeleton,2019,motor imagery; visual; haptic; lower-limb exoskeleton; rehabilitation,CLASSIFICATION; FEEDBACK,4,4,,Automation & Control Systems; Computer Science; Engineering; Robotics,
"Nappenfeld, N; Giefing, GJ",Applying Fitts' Law to a Brain-Computer Interface controlling a 2D Pointing Device,2018,Brain computer interface (BCI); Fitts' law; man machine interface; human-computer interaction; two-dimensional cursor control; robot operation system (ROS),CURSOR CONTROL; SYSTEM,4,4,http://dx.doi.org/10.1109/SMC.2018.00025,Computer Science,"Tanvi, Tasnim"
"Kono, S; Aminaka, D; Makino, S; Rutkowski, TM",EEG Signal Processing and Classification for the Novel Tactile-Force Brain-Computer Interface Paradigm,2013,EEG; tactile BCI; brain signal processing; brain somatosensory evoked response,,4,5,http://dx.doi.org/10.1109/SITIS.2013.132                                            https://arxiv.org/pdf/1310.1593,Computer Science; Engineering,
"Walter, A; Naros, G; Roth, A; Rosenstiel, W; Gharabaghi, A; Bogdan, M",A brain-computer interface for chronic pain patients using epidural ECoG and visual feedback,2012,Brain-computer interfaces; chronic pain; phantom limb; stroke; electrocorticography,PHANTOM-LIMB,4,5,,Engineering; Medical Informatics,